test_name,aliases,category,unit,ref_low,ref_high,normal_condition,low_interpretation,high_interpretation,severity_notes,related_tests,source_note
Lymphocytes - Absolute Count,"ALC|Absolute Lymphocyte Count",Complete Hemogram,10^3/uL,1.0,3.0,between,"May suggest low lymphocyte count; correlate clinically.","May suggest infection or inflammation.","Interpret with WBC differential.","WBC|Lymphocyte","Sample-derived from Thyrocare reports; verify by lab-specific range."
Monocytes - Absolute Count,"Absolute Monocyte Count",Complete Hemogram,10^3/uL,0.2,1.0,between,"Usually minor when isolated; correlate with full CBC.","May suggest inflammation or recovery from infection.","Repeated low values seen in sample reports.","WBC|Monocytes","Sample-derived from Thyrocare reports; verify by lab-specific range."
Basophils - Absolute Count,"Absolute Basophil Count",Complete Hemogram,10^3/uL,0.02,0.1,between,"Usually minor when isolated.","May suggest allergy, inflammation, or rarely blood disorder.","Repeated low values seen in sample reports.","WBC|Basophils","Sample-derived from Thyrocare reports; verify by lab-specific range."
Eosinophils - Absolute Count,"Absolute Eosinophil Count",Complete Hemogram,10^3/uL,0.02,0.5,between,"Usually minor when isolated.","May suggest allergy, asthma, parasite infection, or drug reaction.","Interpret with symptoms and eosinophil percentage.","WBC|Eosinophils","Sample-derived from Thyrocare reports; verify by lab-specific range."
MCV,"Mean Corpuscular Volume",Complete Hemogram,fL,83.0,101.0,between,"Low MCV suggests microcytosis, often seen with iron deficiency or thalassemia trait.","High MCV may suggest B12/folate deficiency, liver disease, alcohol use, or medication effect.","Use with MCH, RDW, hemoglobin, iron and B12.","Hemoglobin|MCH|RDW-CV|Iron|Vitamin B12","Sample-derived from Thyrocare reports; verify by lab-specific range."
MCH,"Mean Corpuscular Hemoglobin",Complete Hemogram,pg,27.0,32.0,between,"Low MCH suggests smaller/paler red cells, commonly with iron deficiency.","High MCH may occur with macrocytosis.","Report text used pq; normalized here as pg.","MCV|MCHC|Hemoglobin|Iron","Sample-derived from Thyrocare reports; verify by lab-specific range."
MCHC,"Mean Corpuscular Hemoglobin Concentration",Complete Hemogram,g/dL,31.5,34.5,between,"Low MCHC may suggest hypochromia, often seen with iron deficiency.","High MCHC is uncommon; may need smear or lab review.","Interpret with MCV and MCH.","Hemoglobin|MCV|MCH|Iron","Sample-derived from Thyrocare reports; verify by lab-specific range."
RDW-CV,"Red Cell Distribution Width CV",Complete Hemogram,%,11.6,14.0,between,"Low RDW is usually not clinically important.","High RDW suggests variation in red cell size and may support nutritional anemia.","High RDW with low MCV and low iron suggests iron deficiency pattern.","Hemoglobin|MCV|Iron|Vitamin B12","Sample-derived from Thyrocare reports; verify by lab-specific range."
RDW-SD,"Red Cell Distribution Width SD",Complete Hemogram,fL,39.0,46.0,between,"Usually not significant when low.","High value suggests red cell size variation.","Use with RDW-CV and smear comments.","RDW-CV|MCV|Hemoglobin","Sample-derived from Thyrocare reports; verify by lab-specific range."
Platelet Count,"Platelets|PLT",Complete Hemogram,10^3/uL,150.0,410.0,between,"Low platelets may increase bleeding risk depending on degree.","High platelets may occur with inflammation, iron deficiency, or marrow conditions.","Older report upper range was 400; 2024 range was 410.","PDW|MPV|PCT","Sample-derived from Thyrocare reports; verify by lab-specific range."
Mean Platelet Volume(MPV),"MPV",Complete Hemogram,fL,6.5,12.0,between,"Low MPV may reflect smaller platelets; interpret with platelet count.","High MPV may reflect larger/younger platelets.","Interpret with platelet count and smear.","Platelet Count|PDW|PCT","Sample-derived from Thyrocare reports; verify by lab-specific range."
Platelet Distribution Width(PDW),"PDW",Complete Hemogram,fL,9.6,15.2,between,"Usually interpreted with platelet count.","High PDW suggests platelet size variation.","Interpret with platelet count and MPV.","Platelet Count|MPV","Sample-derived from Thyrocare reports; verify by lab-specific range."
Plateletcrit(PCT),"PCT",Complete Hemogram,%,0.19,0.39,between,"Low platelet mass; interpret with platelet count.","High platelet mass; interpret with platelet count.","Do not confuse with procalcitonin PCT.","Platelet Count|MPV","Sample-derived from Thyrocare reports; verify by lab-specific range."
HbA1c,"Glycated Hemoglobin|HBA1C",Diabetes,%,,5.7,less_than,"Not applicable for low abnormality in screening context.","5.7-6.4 suggests prediabetes; >=6.5 suggests diabetes by ADA-style categories.","For known diabetics, report also used control categories: <6.5 good, 6.5-7 fair, 7-8 unsatisfactory, >8 poor.","Average Blood Glucose|Fasting Blood Sugar","Sample-derived from Thyrocare reports; verify by lab-specific range and patient context."
Average Blood Glucose (ABG),"Estimated Average Glucose|eAG",Diabetes,mg/dL,90.0,120.0,between,"Usually not interpreted as low from HbA1c-derived ABG alone.","121-150 fair control; 151-180 unsatisfactory; >180 poor control in 2024 reports.","Derived from HbA1c; not a direct glucose measurement.","HbA1c|Fasting Blood Sugar","Sample-derived from Thyrocare reports; verify by lab-specific range."
Fasting Blood Sugar(Glucose),"FBS|Fasting Plasma Glucose|FPG",Diabetes,mg/dL,70.0,100.0,between,"Low fasting glucose can suggest hypoglycemia and needs clinical correlation.","100-125 suggests prediabetes; >=126 suggests diabetes by report ADA guideline.","Diagnosis needs confirmation and clinical review.","HbA1c|Average Blood Glucose","Sample-derived from Thyrocare report; verify by lab-specific range."
25-OH Vitamin D (Total),"Vitamin D|25 Hydroxy Vitamin D",Vitamin,ng/mL,30.0,100.0,between,"<=20 deficiency; 21-29 insufficiency.",">100 toxicity risk per report.","Common deficiency marker; interpret with supplementation and calcium status.","Calcium","Sample-derived from Thyrocare reports; verify by lab-specific range."
Vitamin B-12,"B12|Cobalamin",Vitamin,pg/mL,197.0,771.0,between,"Low B12 may contribute to anemia or nerve symptoms.","High B12 may occur with supplementation or some medical conditions.","Ranges varied: 197-771 in 2024 report, 211-911 in 2019 report; using 2024 range.","Hemoglobin|MCV|RDW-CV","Sample-derived from Thyrocare reports; verify by lab-specific range."
Iron,"Serum Iron",Iron Deficiency,ug/dL,50.0,170.0,between,"Low iron may suggest iron deficiency, blood loss, poor intake, or inflammation.","High iron may occur with excess intake or iron overload; interpret with TIBC and transferrin saturation.","Female adult range from supplied reports.","TIBC|UIBC|Transferrin Saturation|Hemoglobin|MCV","Sample-derived from Thyrocare reports; verify by lab-specific range."
Total Iron Binding Capacity (TIBC),"TIBC",Iron Deficiency,ug/dL,215.0,535.0,between,"Low TIBC can be seen with inflammation or chronic disease patterns.","High TIBC may support iron deficiency pattern.","Female adult range from supplied reports.","Iron|UIBC|Transferrin Saturation","Sample-derived from Thyrocare reports; verify by lab-specific range."
% Transferrin Saturation,"Transferrin Saturation|TSAT",Iron Deficiency,%,13.0,45.0,between,"Low saturation supports iron deficiency pattern.","High saturation can suggest iron overload; interpret clinically.","Derived from iron and TIBC.","Iron|TIBC|UIBC|Hemoglobin|MCV","Sample-derived from Thyrocare reports; verify by lab-specific range."
Unsat.Iron-Binding Capacity(UIBC),"UIBC",Iron Deficiency,ug/dL,162.0,368.0,between,"Low UIBC may occur with iron overload patterns.","High UIBC may support iron deficiency pattern.","Interpret with iron and TIBC.","Iron|TIBC|Transferrin Saturation","Sample-derived from Thyrocare reports; verify by lab-specific range."
Total Cholesterol,"Cholesterol",Lipid,mg/dL,,200.0,less_than,"Not usually flagged low in these reports.","High cholesterol may increase cardiovascular risk depending on full lipid profile.","NCEP-style categories printed in report: desirable <200, borderline 200-239, high >240.","HDL|LDL|Triglycerides|Non-HDL Cholesterol","Sample-derived from Thyrocare reports; verify by lab-specific range."
HDL Cholesterol - Direct,"HDL|Good Cholesterol",Lipid,mg/dL,40.0,60.0,between,"Low HDL may increase cardiovascular risk.","Very high HDL may need context; report marks >60 as high in NCEP table.","2019 report used 35-80; 2024 report used 40-60.","Total Cholesterol|LDL|Triglycerides|TC/HDL Ratio","Sample-derived from Thyrocare reports; verify by lab-specific range."
LDL Cholesterol - Direct,"LDL|Bad Cholesterol",Lipid,mg/dL,,100.0,less_than,"Not applicable for low abnormality in usual risk interpretation.","Higher LDL may increase cardiovascular risk.","NCEP-style categories printed: optimal <100, near optimal 100-129, borderline 130-159, high 160-189, very high >190.","Total Cholesterol|HDL|Non-HDL Cholesterol","Sample-derived from Thyrocare reports; verify by lab-specific range."
Triglycerides,"TG",Lipid,mg/dL,,150.0,less_than,"Not usually flagged low in these reports.","High triglycerides may increase cardiometabolic risk; fasting status matters.","Report warns 10-12 hours fasting is mandatory for lipid parameters.","HDL|VLDL|Trig/HDL Ratio","Sample-derived from Thyrocare reports; verify by lab-specific range."
Trig / HDL Ratio,"TG/HDL Ratio",Lipid,Ratio,,3.12,less_than,"Not applicable for low abnormality.","High ratio may suggest higher cardiometabolic risk.","Derived from triglycerides and HDL.","Triglycerides|HDL","Sample-derived from Thyrocare reports; verify by lab-specific range."
TC/ HDL Cholesterol Ratio,"Total Cholesterol HDL Ratio",Lipid,Ratio,3.0,5.0,between,"Lower ratio is generally favorable, but interpret clinically.","High ratio may suggest higher lipid-related risk.","Derived from total cholesterol and HDL.","Total Cholesterol|HDL","Sample-derived from Thyrocare reports; verify by lab-specific range."
LDL / HDL Ratio,"LDL HDL Ratio",Lipid,Ratio,1.5,3.5,between,"Lower ratio is generally favorable, but interpret clinically.","High ratio may suggest higher lipid-related risk.","Derived from LDL and HDL.","LDL|HDL","Sample-derived from Thyrocare reports; verify by lab-specific range."
Non-HDL Cholesterol,"Non HDL",Lipid,mg/dL,,160.0,less_than,"Not applicable for low abnormality.","High non-HDL may indicate increased atherogenic cholesterol burden.","Derived from total cholesterol minus HDL.","Total Cholesterol|HDL|LDL","Sample-derived from Thyrocare reports; verify by lab-specific range."
VLDL Cholesterol,"VLDL",Lipid,mg/dL,5.0,40.0,between,"Usually not interpreted alone when low.","High VLDL often tracks with high triglycerides.","Derived from triglycerides.","Triglycerides","Sample-derived from Thyrocare reports; verify by lab-specific range."
Alkaline Phosphatase,"ALP|ALKP",Liver,U/L,45.0,129.0,between,"Low ALP is uncommon; interpret clinically.","High ALP may relate to liver, bile duct, or bone conditions.","2019 report used 42-98; 2024 report used 45-129.","GGT|Bilirubin|ALT|AST|Calcium|Vitamin D","Sample-derived from Thyrocare reports; verify by lab-specific range."
Bilirubin - Total,"Total Bilirubin",Liver,mg/dL,0.3,1.2,between,"Usually not significant when slightly low.","High bilirubin may suggest liver, bile duct, or red cell breakdown issues.","Interpret with direct and indirect bilirubin.","Bilirubin Direct|Bilirubin Indirect|ALT|AST|ALP","Sample-derived from Thyrocare reports; verify by lab-specific range."
Bilirubin - Direct,"Direct Bilirubin",Liver,mg/dL,,0.3,less_than,"Not applicable for low abnormality.","High direct bilirubin may suggest bile duct or liver processing issue.","Interpret with total bilirubin and liver enzymes.","Bilirubin Total|Bilirubin Indirect|ALP|GGT","Sample-derived from Thyrocare reports; verify by lab-specific range."
Bilirubin (Indirect),"Indirect Bilirubin",Liver,mg/dL,0.0,0.9,between,"Usually not significant when low.","High indirect bilirubin may suggest red cell breakdown or bilirubin processing issue.","Calculated from total and direct bilirubin.","Bilirubin Total|Bilirubin Direct|Hemoglobin","Sample-derived from Thyrocare reports; verify by lab-specific range."
Gamma Glutamyl Transferase (GGT),"GGT",Liver,U/L,,38.0,less_than,"Not applicable for low abnormality.","High GGT may suggest liver or bile duct stress; can be affected by alcohol or medicines.","Interpret with ALP, ALT, AST and bilirubin.","ALP|ALT|AST|Bilirubin","Sample-derived from Thyrocare reports; verify by lab-specific range."
Aspartate Aminotransferase (SGOT),"AST|SGOT",Liver,U/L,,31.0,less_than,"Not applicable for low abnormality.","High AST may suggest liver, muscle, or other tissue injury.","Interpret with ALT and SGOT/SGPT ratio.","ALT|GGT|Bilirubin|SGOT/SGPT Ratio","Sample-derived from Thyrocare reports; verify by lab-specific range."
Alanine Transaminase (SGPT),"ALT|SGPT",Liver,U/L,,34.0,less_than,"Not applicable for low abnormality.","High ALT may suggest liver cell irritation or injury.","2019 report used 10-28; 2024 report used <34.","AST|GGT|Bilirubin|SGOT/SGPT Ratio","Sample-derived from Thyrocare reports; verify by lab-specific range."
SGOT / SGPT Ratio,"AST ALT Ratio",Liver,Ratio,,2.0,less_than,"Not applicable for low abnormality.","High ratio may need liver and clinical correlation.","Derived from AST and ALT.","AST|ALT|GGT|Bilirubin","Sample-derived from Thyrocare reports; verify by lab-specific range."
Protein - Total,"Total Protein",Liver,gm/dL,5.7,8.2,between,"Low total protein may suggest nutrition, liver, kidney, or absorption issues.","High total protein may suggest dehydration or increased globulins.","Interpret with albumin and globulin.","Albumin|Globulin|A/G Ratio","Sample-derived from Thyrocare reports; verify by lab-specific range."
Albumin - Serum,"Serum Albumin",Liver,gm/dL,3.2,4.8,between,"Low albumin may suggest liver, kidney, inflammation, or nutrition issues.","High albumin is often related to dehydration.","Interpret with total protein and globulin.","Total Protein|Globulin|A/G Ratio","Sample-derived from Thyrocare reports; verify by lab-specific range."
Serum Globulin,"Globulin",Liver,gm/dL,2.5,3.4,between,"Low globulin may reflect low immune proteins or protein loss.","High globulin may suggest inflammation or immune activation.","Derived in some reports.","Total Protein|Albumin|A/G Ratio","Sample-derived from Thyrocare reports; verify by lab-specific range."
Serum Alb/Globulin Ratio,"A/G Ratio|Albumin Globulin Ratio",Liver,Ratio,0.9,2.0,between,"Low ratio may occur with low albumin or high globulin.","High ratio may occur with low globulin or dehydration.","Derived from albumin and globulin.","Albumin|Globulin|Total Protein","Sample-derived from Thyrocare reports; verify by lab-specific range."
Urea (Calculated),"Urea",Renal,mg/dL,17.0,43.0,between,"Low urea can occur with low protein intake, liver issues, or dilution; often not urgent alone.","High urea may suggest dehydration, kidney issues, or high protein breakdown.","Calculated from BUN.","BUN|Creatinine|eGFR","Sample-derived from Thyrocare reports; verify by lab-specific range."
Blood Urea Nitrogen (BUN),"BUN",Renal,mg/dL,7.94,20.07,between,"Low BUN can occur with low protein intake, liver issues, or dilution; often not urgent alone.","High BUN may suggest dehydration, kidney issues, or increased protein breakdown.","Ranges varied: 7-25 in 2019, 7.94-20.07 in 2024.","Urea|Creatinine|BUN/Creatinine Ratio|eGFR","Sample-derived from Thyrocare reports; verify by lab-specific range."
Creatinine - Serum,"Serum Creatinine",Renal,mg/dL,0.55,1.02,between,"Low creatinine may reflect lower muscle mass; interpret with eGFR.","High creatinine may suggest reduced kidney filtration or dehydration.","Ranges varied: 0.5-0.8 in 2019, 0.55-1.02 in 2024.","eGFR|BUN|Urea","Sample-derived from Thyrocare reports; verify by lab-specific range."
BUN / Sr.Creatinine Ratio,"BUN Creatinine Ratio",Renal,Ratio,9.0,23.0,between,"Low ratio may need context.","High ratio may suggest dehydration or altered urea/creatinine balance.","Report displays as 9:1-23:1; stored as numeric ratio.","BUN|Creatinine|Urea","Sample-derived from Thyrocare reports; verify by lab-specific range."
Urea / Sr.Creatinine Ratio,"Urea Creatinine Ratio",Renal,Ratio,,52.0,less_than,"Not applicable for low abnormality.","High ratio may need renal and hydration context.","Derived from urea and creatinine.","Urea|Creatinine|BUN","Sample-derived from Thyrocare reports; verify by lab-specific range."
Calcium,"Serum Calcium",Renal,mg/dL,8.8,10.6,between,"Low calcium may affect bones, nerves, or muscles; interpret with vitamin D and albumin.","High calcium may need evaluation for parathyroid, supplements, or other causes.","Interpret with albumin and vitamin D.","Vitamin D|Albumin|ALP","Sample-derived from Thyrocare reports; verify by lab-specific range."
Uric Acid,"Serum Uric Acid",Renal,mg/dL,3.2,6.1,between,"Low uric acid is often less clinically important; correlate clinically.","High uric acid can be associated with gout risk, kidney stones, or metabolic factors.","Female adult range from supplied reports.","Creatinine|eGFR","Sample-derived from Thyrocare reports; verify by lab-specific range."
Sodium,"Na|Serum Sodium",Electrolytes,mmol/L,136.0,145.0,between,"Low sodium can be clinically important; symptoms or marked low values need prompt medical review.","High sodium may suggest dehydration or water balance problems.","Electrolytes can be urgent if markedly abnormal or symptomatic.","Chloride|Potassium|Creatinine|BUN","Sample-derived from Thyrocare reports; verify by lab-specific range."
Chloride,"Cl|Serum Chloride",Electrolytes,mmol/L,98.0,107.0,between,"Low chloride may occur with vomiting, acid-base changes, or fluid balance issues.","High chloride may occur with dehydration or acid-base changes.","Interpret with sodium and bicarbonate if available.","Sodium|Potassium|BUN|Creatinine","Sample-derived from Thyrocare reports; verify by lab-specific range."
Total Triiodothyronine (T3),"T3|Total T3",Thyroid,ng/dL,80.0,200.0,between,"Low T3 may occur in hypothyroidism or non-thyroidal illness.","High T3 may occur in hyperthyroidism.","2019 report used 60-200; 2024 reports used 80-200.","T4|TSH","Sample-derived from Thyrocare reports; verify by lab-specific range."
Total Thyroxine (T4),"T4|Total T4",Thyroid,ug/dL,4.8,12.7,between,"Low T4 may suggest hypothyroidism when TSH is high.","High T4 may suggest hyperthyroidism when TSH is low.","2019 report used 4.5-12; 2024 reports used 4.8-12.7.","T3|TSH","Sample-derived from Thyrocare reports; verify by lab-specific range."
TSH - Ultrasensitive,"TSH|Thyroid Stimulating Hormone|USTSH",Thyroid,uIU/mL,0.54,5.30,between,"Low TSH may suggest hyperthyroid pattern, especially with high T3/T4.","High TSH may suggest hypothyroid pattern, especially with low T4.","Pregnancy ranges differ by trimester; do not use adult range for pregnancy.","T3|T4|Free T3|Free T4","Sample-derived from Thyrocare reports; verify by lab-specific range."
Testosterone,"Serum Testosterone",Hormone,ng/dL,6.0,82.0,between,"Low testosterone interpretation depends strongly on sex, age, symptoms, and timing.","High testosterone in females may need endocrine review if persistent or symptomatic.","2024 reports show female age-specific range 6-82; 2019 report has detailed adult female ranges.","LH|FSH|TSH","Sample-derived from Thyrocare reports; verify by lab-specific range."
High Sensitivity C-Reactive Protein (HS-CRP),"hsCRP|High Sensitivity CRP",Cardiac Risk Markers,mg/L,,3.0,less_than,"Not applicable for low abnormality.",">3 to 10 high cardiovascular risk category; >10 may reflect non-cardiac inflammation such as infection or active inflammatory illness.","Report recommends average of two hsCRP tests about two weeks apart for cardiac risk assessment.","WBC|Neutrophils|Lipid Profile","Sample-derived from Thyrocare reports; verify by lab-specific range."
Estimated Glomerular Filtration Rate (eGFR),"eGFR|Estimated GFR",Renal,mL/min/1.73 m2,90.0,,greater_than,"60-89 mild decrease; 45-59 mild to moderate; 30-44 moderate to severe; 15-29 severe decrease.","Not applicable for high abnormality in usual kidney function interpretation.","Calculated by CKD-EPI creatinine equation in reports.","Creatinine|BUN|Urea","Sample-derived from Thyrocare reports; verify by lab-specific range."
